"";"GSM3143969_Infection_tot_rep1.CEL";"GSM3143970_Infection_tot_rep2.CEL";"GSM3143971_Infection_tot_rep3.CEL";"GSM3143972_Ctl_tot_rep1.CEL";"GSM3143973_Ctl_tot_rep2.CEL";"GSM3143974_Ctl_tot_rep3.CEL";"GSM3143975_Infection_poly_rep1.CEL";"GSM3143976_Infection_poly_rep2.CEL";"t";"P.Value";"adj.P.Val";"B"
"16652569";2,63793356268466;2,64967536076814;4,70629207245243;5,62136268211504;5,05875926558544;5,93743240027999;4,88879925754963;5,1514853382711;-4,2980003730069;0,00104040556010477;0,0397310430987019;-0,589788421262109
"16652583";6,18541466052715;6,53823276690379;6,0698819277518;3,13137216725711;3,54356749623179;7,02448516613628;8,91895968345318;9,26430961957811;-5,53682965549272;0,000129429997346696;0,0062790167981844;1,36880337071043
"16652589";8,19933520105276;8,27800400467162;8,41903147452538;5,24858867108692;4,87784604426381;8,93437575602444;10,3277521450589;11,1035801276052;-5,08089998929336;0,000272011611549011;0,00869307628153995;0,638627694865554
"16652593";5,93326632941895;4,35944132120972;4,29056256223883;3,72621359976523;2,97776762805456;5,12012393546486;7,12736152556311;7,51399168582345;-3,66123398900489;0,00326963686049263;0,0675544250847493;-1,61202279284728
"16652609";3,73157284980201;3,47401430623608;4,23948194033577;2,44103246173056;2,71336887416834;2,39620151593379;2,72843861115213;2,4500181923109;3,91925460272582;0,002045724725126;0,0548417884311778;-1,24120885570097
"16652627";5,60205655623121;6,28402174686286;7,58021126403269;5,69642343254275;5,15703308274767;5,71714828531917;7,53563535624381;8,06962550922185;-5,57707680274046;0,000121386761065623;0,00619922585908366;1,43175313718998
"16652637";4,29628344282605;2,87102168307784;2,5685734699789;3,8107282456973;3,08982712681796;2,9470063604816;5,26529125516348;5,1720758577129;-4,20662983702619;0,00122293693996647;0,0539571410241518;-0,688439088486207
"16652639";2,55450741397767;2,4481043385708;2,11328252649188;2,25630923498247;2,36992947591203;1,8877291076501;4,11738630211541;3,81887114357231;-4,06441952687042;0,00157577158067344;0,058450587269748;-0,926351131318294
"16652645";5,28834743705314;5,94899560030636;6,21481922444213;3,75924546398678;4,00553611652038;6,68199861741576;8,32271110495745;8,8289344339322;-3,86675130393797;0,00224943170610736;0,0622028995711994;-1,26067366804795
"16652695";4,01205764794626;3,77198207946104;4,55311523910998;3,18795624420569;3,23197352898689;2,93674538742635;2,94825781786963;3,27116776787725;3,92200706284863;0,0020355847826562;0,0617571185799491;-1,16682612700747
"16652789";5,7776443347062;5,71480324275447;5,59178356631795;5,05152753664886;4,22156258413808;5,55150212690873;6,45916782303258;6,37622132765772;-3,99299942991862;0,00179119932789084;0,0557058835059138;-1,05544625872415
"16652849";3,78271844568393;2,86480184540117;3,42816217321109;3,33173056200217;3,80350481601904;4,00722887609602;4,56691364458115;4,51169838803068;-3,81734142936578;0,00246021967182585;0,0631739166305626;-1,34482865261249
"16652863";7,13197503513494;7,13819597654226;7,38359621040663;4,71242113842969;5,220608738318;5,3583532838505;7,85214021596863;8,46506420056497;4,59039349194667;0,000624496117145515;0,0330381242764888;-0,0983032329135076
"16652877";3,41572225550992;3,38396460850216;2,3958570181738;2,35329537244165;3,90819386302657;3,2123748456169;5,26616667513445;4,87682535697853;-4,00504181490684;0,00175284731453614;0,0593911731157903;-1,02635899015876
"16652939";4,65796687529243;4,03129843025959;5,19347221778806;3,27988374194031;3,88803222158857;3,48814721229352;2,92257626171641;2,95116223354315;3,98781143107287;0,00180798778272648;0,0597588433408633;-1,05544946754503
"16652967";4,37058461768797;3,92596089881067;3,79083253363689;2,71574303485887;2,59531294484373;1,93597663850104;2,65116432770471;2,32924964940481;5,31269772372848;0,00018578738754895;0,0196086152968986;1,06429983662075
"16653127";4,05900230511504;2,30295938749953;4,06809746184619;4,34699173751369;3,91467326553985;5,5075342425257;5,70024198521953;6,05053737439693;-3,93578717724179;0,0019855926591534;0,0616085277853985;-1,14346707697175
"16653173";8,74175892891162;8,85840225732877;9,50426528178776;6,53812782460562;6,64685846245214;7,93359139090551;8,38504009243463;6,97716806035665;5,51449524261443;0,000134134375892814;0,00431159993877047;1,29983534149488
"16653197";7,25799710638441;6,39080470439951;7,12151340679111;6,67884400766125;7,5388377928178;7,26574545940912;4,36056256727732;4,12459860886006;7,40608576992309;8,30639821186788e-06;0,00135342059316035;4,03553108182904
"16653303";7,41820141056453;6,88148968387726;8,28187701512084;7,45765511944792;6,55234872730479;9,33506701615095;9,64163580929292;10,0709489164011;-3,74510616545782;0,00280556122722587;0,0654962005392677;-1,46823327282995
"16653335";2,5780792557563;4,84140218446039;3,41999931895542;3,35337265459456;3,0056646758863;4,50958411014258;5,83084978722774;5,86710339680049;-3,88485498857346;0,00217693098261744;0,0587148275846522;-1,23948575324919
"16653349";12,6916857296563;12,4002491078727;12,0651232503838;11,8544066233782;11,9528808610131;11,0980140759127;11,194575732181;11,1336978651356;6,33573724351232;3,77872484911527e-05;0,00223127876112516;2,55308777151914
"16653371";5,46866411556419;6,80518445822837;8,14565416951268;8,46054795196587;7,92839130819755;8,62502910045189;6,48686759142377;5,71633692528481;4,59707888363664;0,000617328611963649;0,0125190240673078;-0,169048637147973
"16653379";3,26034812481014;4,46349234665562;4,60490553550752;2,89649464056722;2,40931819157988;2,17053969985472;2,63793356268466;2,2627473103336;4,47058417389983;0,000768772280022005;0,0351693639638736;-0,298363462413324
"16653405";7,41820141056453;6,88148968387726;8,28187701512084;7,45765511944792;6,55234872730479;9,33506701615095;9,64163580929292;10,0709489164011;-3,74510616545782;0,00280556122722587;0,0654962005392677;-1,46823327282995
"16653437";2,5780792557563;4,84140218446039;3,41999931895542;3,35337265459456;3,0056646758863;4,50958411014258;5,83084978722774;5,86710339680049;-3,88485498857346;0,00217693098261744;0,0587148275846522;-1,23948575324919
"16653451";12,6916857296563;12,4002491078727;12,0651232503838;11,8544066233782;11,9528808610131;11,0980140759127;11,194575732181;11,1336978651356;6,33573724351232;3,77872484911527e-05;0,00223127876112516;2,55308777151914
"16653473";5,46866411556419;6,80518445822837;8,14565416951268;8,46054795196587;7,92839130819755;8,62502910045189;6,48686759142377;5,71633692528481;4,59707888363664;0,000617328611963649;0,0125190240673078;-0,169048637147973
"16653481";3,26034812481014;4,46349234665562;4,60490553550752;2,89649464056722;2,40931819157988;2,17053969985472;2,63793356268466;2,2627473103336;4,47058417389983;0,000768772280022005;0,0351693639638736;-0,298363462413324
"16653533";7,31188430366582;7,71038013210591;6,90684038094279;3,95592356684964;4,72060378860972;3,95841954688061;3,8567212990718;4,21427833341445;11,8603016296841;5,62757082691399e-08;0,000298683325290275;8,68209265046409
"16653547";5,08704026948618;5,79012355200891;5,17925019542367;5,56170769166295;6,47103390061175;6,36782902629585;6,43656925382108;6,79637084527417;-4,34896585111091;0,00095111408484697;0,0506050443848773;-0,452768113803584
"16653549";4,03575410325258;2,86222051689919;5,03782016820438;4,46900844615663;4,28266440150158;4,59771092201299;6,12288527497326;5,84058608029147;-3,66227534194771;0,00326341709705408;0,0675544250847493;-1,61023445347572
"16653565";2,44415225441749;2,63534247714077;1,72410431253532;2,05513055936962;2,19953256782934;2,33751459801326;4,2328913912708;4,73701308836443;-3,69803320976185;0,00305703377853238;0,0666284240121106;-1,5488719730441
"16653575";5,03699456628098;4,50581265176004;3,5519744200269;4,7557956551782;3,17543434035726;6,35863408962474;6,28674116994858;7,15748300940218;-4,03842511882517;0,00165090058415137;0,0533120999457152;-0,978490042199612
"16653601";5,61801933516743;4,59117111261829;4,64202629466394;4,46371925943259;4,87941986169329;3,86480325058388;3,41140983490577;3,86176698226018;3,72152442868129;0,00292877295899259;0,0662792067321889;-1,50860943678952
"16653629";3,93347410927565;4,40281817673759;3,55454226507933;3,93194633780483;3,86466535527112;4,63570918636467;4,29094804894473;4,81862672767685;-3,78204952057371;0,00262312817591117;0,061110262544516;-1,41543218986329
"16653641";7,69343244472751;6,93771558025617;7,67795743615067;7,34118145663374;7,64532059835097;9,14482071282397;9,08914347442163;9,11735294885403;-3,65463876807219;0,00330931140053889;0,0675544250847493;-1,6233506061884
"16653717";4,85931342573809;4,03001513446099;3,92815811316987;3,8028370456545;3,63684461271993;4,76094556707406;5,7705467591306;5,79400984542108;-3,75849877586778;0,00273796669753432;0,0654962005392677;-1,445321838222
