"ID_REF"	"GSM3143969"	"GSM3143970"	"GSM3143971"	"GSM3143972"	"GSM3143973"	"GSM3143974"	"GSM3143975"	"GSM3143976"	"GSM3143977"	"GSM3143978"	"GSM3143979"	"GSM3143980"
"100101938_at"	-0.044233309	-0.038913668	-0.059695321	-0.057270798	-0.106796348	-0.063925748	-0.125795709	-0.085021944	-0.126007901	-0.100885423	-0.107696609	-0.120726528
"10010_at"	1.111533371	1.455437327	1.656968408	1.161402244	1.284268813	1.434203504	1.717457273	1.608649031	1.553043112	1.517406122	1.489474126	1.215138638
"100113378_at"	0.175580261	0.074880321	-0.189890979	-0.15777504	-0.073113373	-0.307036797	-0.142356251	-0.310601725	-0.153674039	-0.209453599	-0.244483298	-0.093366186
"100113379_at"	0.017670331	0.101723205	0.071150615	-0.036988848	-0.05459797	0.191559607	0.274023494	0.432016152	0.198299068	0.284244675	0.21937664	0.413327116
"100113381_at"	0.176963574	0.570664294	1.000949718	0.092039879	0.050720306	0.738585828	1.675312976	1.700531446	2.568642662	0.568120369	0.770145121	1.922040691
"100113382_at"	0.020426559	0.346498531	0.294841345	0.252098438	0.195062759	0.248061182	0.462073107	0.49256242	0.526874868	0.271459354	0.205027602	0.532955194
"100113384_at"	-0.035534162	0.034007015	-0.100944553	-0.209413543	-0.032689155	0.043634416	0.09227762	-0.084909459	0.077182084	-0.02720753	-0.126851501	-0.121937309
"100113386_at"	0.809203466	0.807482668	1.108236149	0.681412206	0.780048186	1.15080957	1.063147685	0.988245376	1.355936352	0.945381037	0.976895381	1.048540089
"100113389_at"	0.11726314	0.241879691	0.716541681	0.155547514	0.09695926	0.339199749	0.399552333	0.446069664	0.45984262	0.172816079	0.217009648	0.318166134
"100113391_at"	0.069425293	0.232711097	0.551046422	-0.096099016	0.013389392	0.389480056	0.644990508	0.521553378	0.406775084	0.086791701	0.089802259	0.275230707
"100113392_at"	0.006056444	0.046830288	0.270375304	0.04463304	0.044110202	0.066024564	0.029610637	0.174094088	0.40496415	0.038715445	-0.016176986	0.167209846
"100113393_at"	-0.135077386	0.00176195	-0.016660075	0.005125478	-0.097609644	0.186357586	0.220044052	0.462261596	0.335875961	0.11632504	0.144197679	1.150935093
"100113402_at"	-0.07741277	-0.147022651	-0.318176492	0.008626992	-0.082414749	-0.052052519	-0.096134856	-0.198354186	-0.124360488	-0.146261197	-0.22576537	0.002757813
"100113403_at"	-0.021784114	0.156325366	0.167653862	0.185582149	0.180225257	0.267095723	0.135063384	0.204101341	0.129049571	0.200427393	0.196362721	0.223904461
"100113404_at"	-0.024073351	-0.220704495	-0.121404028	-0.099007061	-0.086279258	-0.100208826	-0.222704516	-0.123582129	-0.145378708	-0.162398969	-0.147986377	-0.157419869
"100113407_at"	-0.105408801	-0.027190548	-0.10691385	0.095308041	-0.014772456	0.095064878	0.026727168	0.061862337	-0.231380916	0.396786458	0.1869651	0.076868484
"10011_at"	0.457002366	0.465906246	0.457334632	0.382557751	0.517641181	0.745369746	0.694443448	0.650497666	0.675032722	1.128757918	0.967832269	0.754055871
"100124412_at"	0.1518894	0.120789368	-0.156069056	0.077537356	-0.096810336	0.234766062	0.05249891	0.103596134	-0.074099546	-0.006027942	0.121490324	0.091802482
"100124516_at"	0.447580778	0.715753709	1.472779689	0.204829181	0.273544358	0.799536742	0.787667043	0.888458981	1.260461697	0.66717469	0.479735662	1.664468284
"100124533_at"	0.560545056	0.850979756	0.883477717	0.567138058	0.70118231	0.946746657	1.122196282	1.184930442	0.942299244	1.019512903	0.802187309	1.147269452
